,author,title,keywords,abstract,year,type_publication,doi,book_journal,Title_SCI,Title_JCS,SCI_FACTOR,JCS_FACTOR
0,"Osvaldo Gogliano Sobrinho,Liedi Ledi Mariani Bernucci,Pedro Luiz Pizzigatti Corrêa,Rosângela dos Santos Motta,Jeaneth Machicao,Angelo Samuel Junqueira,Robson Correia da Costa,Wellingthon Dias de Queiroz,Thales Cesar Giriboni de Mello e Silva,Pedro Lopes Ferraz,Luciano Cassaro,Luciano Oliveira",Big data analytics in support of the under-rail maintenance management at Vitória – Minas Railway,"Geometry,Instruments,Railway accidents,Conferences,Big Data,Rail transportation,Sensors","This paper describes an ongoing study using data collected by an instrumented ore car on Vitória–Minas Railway, operated by Vale in Brazil. The research uses big data analysis methods over collected data by the instrumented car during its voyages. Railway geometry issues can cause undesirable movements on the wagons that can cause discomfort for passengers or instability for the cargo. In the worst scenario, derailments can occur. Each second, several sensors installed on the instrumented car collect data about velocity, acceleration, and movements on the wagon. The volume of collected data is impressive since the railway has about 2,000 km of extension. That volume compels us to use big data analytics methods. As the result of the research, the team aims to establish some levels of operational conditions, named as severity indexes, which can indicate to the maintenance teams the necessity of intervention on the railway.",2021,Big data analytics in support of the under-rail maintenance management at Vitória – Minas Railway,10.1109/BigData52589.2021.9671739,2021 IEEE International Conference on Big Data (Big Data),N/A,N/A,0.0,0.0
1,"Mohammad Sultan Mahmud,Joshua Zhexue Huang,Salman Salloum,Tamer Z. Emara,Kuanishbay Sadatdiynov",A survey of data partitioning and sampling methods to support big data analysis,"Big Data,Distributed databases,Computational modeling,Data models,Computer architecture,Sampling methods","Computer clusters with the shared-nothing architecture are the major computing platforms for big data processing and analysis. In cluster computing, data partitioning and sampling are two fundamental strategies to speed up the computation of big data and increase scalability. In this paper, we present a comprehensive survey of the methods and techniques of data partitioning and sampling with respect to big data processing and analysis. We start with an overview of the mainstream big data frameworks on Hadoop clusters. The basic methods of data partitioning are then discussed including three classical horizontal partitioning schemes: range, hash, and random partitioning. Data partitioning on Hadoop clusters is also discussed with a summary of new strategies for big data partitioning, including the new Random Sample Partition (RSP) distributed model. The classical methods of data sampling are then investigated, including simple random sampling, stratified sampling, and reservoir sampling. Two common methods of big data sampling on computing clusters are also discussed: record-level sampling and block-level sampling. Record-level sampling is not as efficient as block-level sampling on big distributed data. On the other hand, block-level sampling on data blocks generated with the classical data partitioning methods does not necessarily produce good representative samples for approximate computing of big data. In this survey, we also summarize the prevailing strategies and related work on sampling-based approximation on Hadoop clusters. We believe that data partitioning and sampling should be considered together to build approximate cluster computing frameworks that are reliable in both the computational and statistical respects.",2020,A survey of data partitioning and sampling methods to support big data analysis,10.26599/BDMA.2019.9020015,Big Data Mining and Analytics,N/A,N/A,0.0,0.0
2,"Domenico Redavid,Roberto Corizzo,Donato Malerba",An OWL Ontology for Supporting Semantic Services in Big Data Platforms,"Ontologies,OWL,Data models,Big Data,Semantics,Analytical models","In the last years, there was a growing interest in the use of Big Data models to support advanced data analysis functionalities. Many companies and organizations lack IT expertise and adequate budget to have benefits from them. In order to fill this gap, a model-based approach for Big Data Analytics-as-a-service (MBDAaaS) can be used. The proposed model, composed by declarative, procedural and deployment (sub) models, can be used to select a deployable set of services based on a set of user preferences shaping a Big Data Campaign (BDC). The deployment of a BDC requires that the selection of services has to be carried out on the basis of coherent and non conflictual user preferences. In this paper we propose an OWL ontology in order to solve this issue.",2018,An OWL Ontology for Supporting Semantic Services in Big Data Platforms,10.1109/BigDataCongress.2018.00039,2018 IEEE International Congress on Big Data (BigData Congress),N/A,N/A,0.0,0.0
3,"Fang Peng,Honggang Wang,Li Zhuang,Minnan Wang,Chengyue Yang",Methods of enterprise electronic file content information mining under big data environment,"Scalability,Big Data,Information age,Search problems,Data mining,Electronic countermeasures,Software engineering","As the product of the digital age, big data technology and computer information technology can greatly improve the efficiency and quality of file management and promote the development of enterprises. Based on this, this paper first analyzes the current status of enterprise archives management; Secondly, this paper discusses the countermeasures of information mining of electronic documents of innovative enterprises in the digital age. Text information mining is beneficial to improve the efficiency of text information search and utilization, aiming at the existing problems of traditional methods, the text information mining method is proposed.",2020,Methods of enterprise electronic file content information mining under big data environment,10.1109/ICBASE51474.2020.00008,2020 International Conference on Big Data & Artificial Intelligence & Software Engineering (ICBASE),N/A,N/A,0.0,0.0
4,"Justin McHugh,Paul E. Cuddihy,Jenny Weisenberg Williams,Kareem S. Aggour,Vijay S. Kumar,Varish Mulwad",Integrated access to big data polystores through a knowledge-driven framework,"Semantics,Big Data,Data models,Ontologies,Time series analysis,Databases,Triples (Data structure)","The recent successes of commercial cognitive and AI applications have cast a spotlight on knowledge graphs and the benefits of consuming structured semantic data. Today, knowledge graphs are ubiquitous to the extent that organizations often view them as a “single source of truth” for all of their data and other digital artifacts. In most organizations, however, Big Data comes in many different forms including time series, images, and unstructured text, which often are not suitable for efficient storage within a knowledge graph. This paper presents the Semantics Toolkit (SemTK), a framework that enables access to polyglot-persistent Big Data stores while giving the appearance that all data is fully captured within a knowledge graph. SemTK allows data to be stored across multiple storage platforms (e.g., Big Data stores such as Hadoop, graph databases, and semantic triple stores) - with the best-suited platform adopted for each data type - while maintaining a single logical interface and point of access, thereby giving users a knowledge-driven veneer across their data. We describe the ease of use and benefits of constructing and querying polystore knowledge graphs with SemTK via four industrial use cases at GE.",2017,Integrated access to big data polystores through a knowledge-driven framework,10.1109/BigData.2017.8258083,2017 IEEE International Conference on Big Data (Big Data),N/A,N/A,0.0,0.0
5,"Kyounghyun Park,Minh Chau Nguyen,Heesun Won",Web-based collaborative big data analytics on big data as a service platform,"Big data,Portals,Collaboration,Web services,Monitoring,Streaming media","As data has been increasing explosively due to development of social networks and cloud computing, there has been a new challenge for storing, processing, and analyzing a large volume of data. The traditional technologies do not become a proper solution to process big data so that a big data platform has begun to emerge. It is certain that big data platform helps users develop analysis service effectively. However, it still takes a long time to collect data, develop algorithms and analytics services. We present a collaborative big data analytics platform for big data as a service. Developers can collaborate with each other on the platform by sharing data, algorithms, and services. Therefore, this paper describes big data analytics platform that effectively supports to manage big data and develop analytics algorithms and services, collaborating with data owners, data scientists, and service developers on the Web. Finally, we introduce a CCTV metadata analytics service developed on the platform.",2015,Web-based collaborative big data analytics on big data as a service platform,10.1109/ICACT.2015.7224859,2015 17th International Conference on Advanced Communication Technology (ICACT),N/A,N/A,0.0,0.0
6,"Liang Lixin,Lin Lin",The big data analysis and mining of people's livelihood appeal based on time series modeling and algorithm,"Analytical models,Data analysis,Time series analysis,Big Data,Market research,Prediction algorithms,Data models","In order to analyze the big data of people's livelihood appeal, this paper proposes a time series modeling and algorithm to decompose the time series {x(t)} of data into long-term change trend L(t), short-term change trend S(t) and occasional change e(t). Then use this method to break down the data of six types of people's livelihood appeal such as unlicensed vendor, industrial noise, sewer cover, academic qualification, out-of-store operation and public transportation, combine other data for correlation analysis, find out the cause of the appeal event and make predictions. The experimental results verify the effectiveness of time series analysis in big data analysis and mining of people's livelihood appeal, and it is an useful attempt in the analysis of e-government big data.",2020,The big data analysis and mining of people's livelihood appeal based on time series modeling and algorithm,10.1109/HPBDIS49115.2020.9130588,2020 International Conference on High Performance Big Data and Intelligent Systems (HPBD&IS),N/A,N/A,0.0,0.0
7,"Ardi Imawan,Joonho Kwon",A timeline visualization system for road traffic big data,"Roads,Big data,Data visualization,Data mining,Conferences,Cloud computing,Image color analysis","The rapid converging of big data and IoT (Internet of Things) technologies provides more opportunities in the area of road traffic applications. In this paper, we discuss a timeline visualization tool which enables us to better understand of traffic behaviors from road traffic big data.",2015,A timeline visualization system for road traffic big data,10.1109/BigData.2015.7364125,2015 IEEE International Conference on Big Data (Big Data),N/A,N/A,0.0,0.0
8,"He Liu,Fupeng Huang,Han Li,Weiwei Liu,Tongxun Wang",A Big Data Framework for Electric Power Data Quality Assessment,"Big Data,Data integrity,Power grids,History,Real-time systems,Sensors","Since a low-quality data may influence the effectiveness and reliability of applications, data quality is required to be guaranteed. Data quality assessment is considered as the foundation of the promotion of data quality, so it is essential to access the data quality before any other data related activities. In the electric power industry, more and more electric power data is continuously accumulated, and many electric power applications have been developed based on these data. In China, the power grid has many special characteristic, traditional big data assessment frameworks cannot be directly applied. Therefore, a big data framework for electric power data quality assessment is proposed. Based on big data techniques, the framework can accumulate both the real-time data and the history data, provide an integrated computation environment for electric power big data assessment, and support the storage of different types of data.",2017,A Big Data Framework for Electric Power Data Quality Assessment,10.1109/WISA.2017.29,2017 14th Web Information Systems and Applications Conference (WISA),N/A,N/A,0.0,0.0
9,"Darlan Arruda,Nazim H. Madhavji",Towards a big data requirements engineering artefact model in the context of big data software development projects: Poster extended abstract,"Big Data,Software,Requirements engineering,Data models,Computational modeling,Context modeling,Software engineering","In this paper, we describe our ongoing research aimed at defining a Requirements Engineering Artefact Model (REAM) in the context of Big Data software applications. This model aims to provide a “big picture” of the Requirements Engineering work products created and used in Big Data software development projects. REAM are important tools that can be used as references for the definition of domain-specific RE models, system life-cycle processes and artefact-centered processes, currently bereft in the Big Data Software Engineering research.",2017,Towards a big data requirements engineering artefact model in the context of big data software development projects: Poster extended abstract,10.1109/BigData.2017.8258521,2017 IEEE International Conference on Big Data (Big Data),N/A,N/A,0.0,0.0
